"scientificname";"worms_id";"rank";"species";"worms_id_species";"count"
"Monocorophium sextonae";148603;"Species";"Monocorophium sextonae";148603;1232
"Scomber colias";151174;"Species";"Scomber colias";151174;1231
"Podiceps auritus";137181;"Species";"Podiceps auritus";137181;1230
"Syllis cornuta";157583;"Species";"Syllis cornuta";157583;1230
"Lingulodinium polyedra";233592;"Species";"Lingulodinium polyedra";233592;1227
"Lensia subtilis";135439;"Species";"Lensia subtilis";135439;1226
"Diplosoma listerianum";103579;"Species";"Diplosoma listerianum";103579;1224
"Chlorophyta";801;"Division";"";;1223
"Vimba vimba";283150;"Species";"Vimba vimba";283150;1222
"Chaetoceros ceratosporus";149297;"Species";"Chaetoceros ceratosporus";149297;1222
"Tubulanus";122388;"Genus";"";;1219
"Chaetomorpha linum";145027;"Species";"Chaetomorpha linum";145027;1218
"Eucalanus";104171;"Genus";"";;1217
"Alburnus alburnus";154285;"Species";"Alburnus alburnus";154285;1215
"Rissoa membranacea";141359;"Species";"Rissoa membranacea";141359;1214
"Galathowenia fragilis";146951;"Species";"Galathowenia fragilis";146951;1213
"Lagenorhynchus acutus";137100;"Species";"Lagenorhynchus acutus";137100;1212
"Ensis magnus";160539;"Species";"Ensis magnus";160539;1212
"Oncaea media";128938;"Species";"Oncaea media";128938;1212
"Flustrellidra hispida";111621;"Species";"Flustrellidra hispida";111621;1212
"Halarachnion ligulatum";145621;"Species";"Halarachnion ligulatum";145621;1212
"Ampharete falcata";129777;"Species";"Ampharete falcata";129777;1211
"Praxillella praetermissa";130326;"Species";"Praxillella praetermissa";130326;1210
"Pullenia bulloides";113110;"Species";"Pullenia bulloides";113110;1209
"Lithodesmium undulatum";149322;"Species";"Lithodesmium undulatum";149322;1208
"Limacia clavigera";140830;"Species";"Limacia clavigera";140830;1208
"Magallana gigas";836033;"Species";"Magallana gigas";836033;1206
"Travisia forbesii";130512;"Species";"Travisia forbesii";130512;1205
"Spiniferites";602101;"Genus";"";;1204
"Urothoe grimaldii";103229;"Species";"Urothoe grimaldii";103229;1204
"Lentisphaerae";564169;"Phylum";"";;1203
"Spirobranchus lamarcki";560033;"Species";"Spirobranchus lamarcki";560033;1200
"Erythroglossum laciniatum";144749;"Species";"Erythroglossum laciniatum";144749;1199
"Hemiaulus";163248;"Genus";"";;1197
"Blidingia minima";145950;"Species";"Blidingia minima";145950;1196
"Mya";138211;"Genus";"";;1196
"Thyasira obsoleta";141668;"Species";"Thyasira obsoleta";141668;1196
"Podarkeopsis capensis";130195;"Species";"Podarkeopsis capensis";130195;1196
"Axinella infundibuliformis";132480;"Species";"Axinella infundibuliformis";132480;1195
"Thyasira sarsi";141672;"Species";"Thyasira sarsi";141672;1193
"Samytha sexcirrata";129819;"Species";"Samytha sexcirrata";129819;1191
"Aspidosiphon (Aspidosiphon) muelleri muelleri";410717;"Subspecies";"Aspidosiphon (Aspidosiphon) muelleri";136037;1191
"Lacuna pallidula";140168;"Species";"Lacuna pallidula";140168;1187
"Parvicardium exiguum";139008;"Species";"Parvicardium exiguum";139008;1186
"Leucosolenia";131715;"Genus";"";;1185
"Ihlea punctata";137263;"Species";"Ihlea punctata";137263;1180
"Apseudopsis latreillii";247077;"Species";"Apseudopsis latreillii";247077;1176
"Magelona";129341;"Genus";"";;1176
"Glycymeris glycymeris";140025;"Species";"Glycymeris glycymeris";140025;1174
"Alcyonidium gelatinosum";111600;"Species";"Alcyonidium gelatinosum";111600;1172
"Uvigerina peregrina";113773;"Species";"Uvigerina peregrina";113773;1172
"Magelona minuta";130270;"Species";"Magelona minuta";130270;1168
"Aphelochaeta";129240;"Genus";"";;1164
"Syngnathus rostellatus";127389;"Species";"Syngnathus rostellatus";127389;1164
"Chaetoceros brevis";149291;"Species";"Chaetoceros brevis";149291;1163
"Ampelisca macrocephala";101908;"Species";"Ampelisca macrocephala";101908;1162
"Filograna implexa";130989;"Species";"Filograna implexa";130989;1161
"Clio";137751;"Genus";"";;1159
"Edmundsella pedata";1047602;"Species";"Edmundsella pedata";1047602;1159
"Mesoporos perforatus";232516;"Species";"Mesoporos perforatus";232516;1157
"Tintinnopsis baltica";247945;"Species";"Tintinnopsis baltica";247945;1157
"Tricolia pullus";141700;"Species";"Tricolia pullus";141700;1156
"Stelligera stuposa";134175;"Species";"Stelligera stuposa";134175;1152
"Edwardsiidae";100665;"Family";"";;1150
"Farranula rostrata";128814;"Species";"Farranula rostrata";128814;1150
"Marphysa bellii";130072;"Species";"Marphysa bellii";130072;1149
"Tripodiscus argus";162834;"Species";"Tripodiscus argus";162834;1148
"Doliolum";137222;"Genus";"";;1146
"Caprelloidea";196121;"Superfamily";"";;1146
"Ceratium";109506;"Genus";"";;1146
"Salpa";137233;"Genus";"";;1143
"Rhizobiales";393148;"Order";"";;1141
"Fucus ceranoides";145542;"Species";"Fucus ceranoides";145542;1141
"Janira maculosa";118732;"Species";"Janira maculosa";118732;1141
"Amphidinium crassum";109726;"Species";"Amphidinium crassum";109726;1141
"Spiophanes wigleyi";131190;"Species";"Spiophanes wigleyi";131190;1140
"Amphidinium sphenoides";109754;"Species";"Amphidinium sphenoides";109754;1138
"Navicula planamembranacea";180727;"Species";"Navicula planamembranacea";180727;1138
"Ptychocylis urnula";345883;"Species";"Ptychocylis urnula";345883;1135
"Argissa hamatipes";102064;"Species";"Argissa hamatipes";102064;1133
"Gammarus zaddachi";102299;"Species";"Gammarus zaddachi";102299;1133
"Zygoceros surirella";179790;"Species";"Zygoceros surirella";179790;1132
"Hydrobatidae";148794;"Family";"";;1131
"Tripos candelabrus";841193;"Species";"Tripos candelabrus";841193;1129
"Turborotalita quinqueloba dextralis";;"Subspecies";"Turborotalita quinqueloba";113462;1128
"Obelia dichotoma";117386;"Species";"Obelia dichotoma";117386;1126
"Cribrostomoides subglobosum";254681;"Species";"Cribrostomoides subglobosum";254681;1125
"Cochlodesma praetenue";181373;"Species";"Cochlodesma praetenue";181373;1125
"Tapes (Tapes) rhomboides";152316;"Species";"Tapes (Tapes) rhomboides";152316;1123
"Einhornia crustulenta";467577;"Species";"Einhornia crustulenta";467577;1122
"Chaetoceros simplex";149294;"Species";"Chaetoceros simplex";149294;1122
"Ctenophora";1248;"Phylum";"";;1121
"Sphaerosyllis";129677;"Genus";"";;1120
"Scoletoma impatiens";130263;"Species";"Scoletoma impatiens";130263;1119
"Polyclinum aurantium";103674;"Species";"Polyclinum aurantium";103674;1118
"Bugulina angustiloba";833984;"Species";"Bugulina angustiloba";833984;1118
"Harmothoe glabra";571832;"Species";"Harmothoe glabra";571832;1116
"Ensis leei";876640;"Species";"Ensis leei";876640;1115
"Cyclothone braueri";127284;"Species";"Cyclothone braueri";127284;1115
"Sagartiogeton undatus";101002;"Species";"Sagartiogeton undatus";101002;1113
"Raja microocellata";105885;"Species";"Raja microocellata";105885;1113
"Thia scutellata";107281;"Species";"Thia scutellata";107281;1113
"Spicara smaris";126830;"Species";"Spicara smaris";126830;1112
"Pisione remota";130707;"Species";"Pisione remota";130707;1109
"Lepidotrigla cavillone";127264;"Species";"Lepidotrigla cavillone";127264;1109
"Lichina pygmaea";147720;"Species";"Lichina pygmaea";147720;1107
"Amaeana trilobata";131471;"Species";"Amaeana trilobata";131471;1107
"Bathyporeia tenuipes";103076;"Species";"Bathyporeia tenuipes";103076;1106
"Sepiola atlantica";141454;"Species";"Sepiola atlantica";141454;1104
"Aphanothece";146715;"Genus";"";;1103
"Asterionella kariana";148956;"Species";"Asterionella kariana";148956;1102
"Clytemnestra";115273;"Genus";"";;1100
"Puffinus";137065;"Genus";"";;1099
"Eclysippe vanelli";129792;"Species";"Eclysippe vanelli";129792;1099
"Marenzelleria neglecta";181523;"Species";"Marenzelleria neglecta";181523;1097
"Skeneopsis planorbis";141539;"Species";"Skeneopsis planorbis";141539;1096
"Leiochone leiopygos";559007;"Species";"Leiochone leiopygos";559007;1096
"Nassarius pygmaeus";140512;"Species";"Nassarius pygmaeus";140512;1094
"Telonema subtile";118075;"Species";"Telonema subtile";118075;1094
"Asterina gibbosa";123987;"Species";"Asterina gibbosa";123987;1091
"Euclymene";129347;"Genus";"";;1091
"Gastroclonium ovatum";145810;"Species";"Gastroclonium ovatum";145810;1091
"Chylocladia verticillata";145808;"Species";"Chylocladia verticillata";145808;1090
"Actinomycetales";178058;"Order";"";;1087
"Lomentaria orcadensis";145830;"Species";"Lomentaria orcadensis";145830;1084
"Prostheceraeus vittatus";142820;"Species";"Prostheceraeus vittatus";142820;1083
"Chironomini";150882;"Tribe";"";;1082
"Lobatula lobatula";113118;"Species";"Lobatula lobatula";113118;1081
"Turborotalita quinqueloba sinistralis";;"Subspecies";"Turborotalita quinqueloba";113462;1080
"Quinqueloculina";112040;"Genus";"";;1080
"Cerataulina pelagica";149619;"Species";"Cerataulina pelagica";149619;1078
"Prorocentrum lima";110301;"Species";"Prorocentrum lima";110301;1078
"Idotea granulosa";119044;"Species";"Idotea granulosa";119044;1077
"Oithona setigera";106655;"Species";"Oithona setigera";106655;1077
"Jassa marmorata";102433;"Species";"Jassa marmorata";102433;1076
"Chaetomorpha melagonium";145029;"Species";"Chaetomorpha melagonium";145029;1074
"Tripos carriensis";837448;"Species";"Tripos carriensis";837448;1073
"Polygordius";129472;"Genus";"";;1072
"Oncaea mediterranea";128939;"Species";"Oncaea mediterranea";128939;1072
"Schottera nicaeensis";145666;"Species";"Schottera nicaeensis";145666;1070
"Pleuromamma xiphias";104643;"Species";"Pleuromamma xiphias";104643;1069
"Subsilicea fragilarioides";345526;"Species";"Subsilicea fragilarioides";345526;1069
"Lensia";135365;"Genus";"";;1068
"Ulva linza";234474;"Species";"Ulva linza";234474;1066
"Pandalus borealis";107649;"Species";"Pandalus borealis";107649;1066
"Ceratium extensum";109947;"Species";"Ceratium extensum";109947;1065
"Mendicula pygmaea";152424;"Species";"Mendicula pygmaea";152424;1065
"Rhizosolenia pungens";149117;"Species";"Rhizosolenia pungens";149117;1063
"Globorotalia menardii";113450;"Species";"Globorotalia menardii";113450;1062
"Lithothamnion glaciale";145170;"Species";"Lithothamnion glaciale";145170;1059
"Larus hyperboreus";137145;"Species";"Larus hyperboreus";137145;1059
"Fragilariaceae";148952;"Family";"";;1058
"Oligotrichida";595083;"Order";"";;1055
"Fucus";144129;"Genus";"";;1054
"Haloptilus longicornis";104431;"Species";"Haloptilus longicornis";104431;1053
"Nitzschia tenuirostris";418215;"Species";"Nitzschia tenuirostris";418215;1052
"Philocheras trispinosus";107562;"Species";"Philocheras trispinosus";107562;1052
"Alcyonidium hirsutum";111601;"Species";"Alcyonidium hirsutum";111601;1051
"Ellisolandia elongata";732248;"Species";"Ellisolandia elongata";732248;1050
"Lithophyllum";144016;"Genus";"";;1049
"Oithona minuta";106650;"Species";"Oithona minuta";106650;1048
"Lithophyllum incrustans";145152;"Species";"Lithophyllum incrustans";145152;1047
"Galeorhinus galeus";105820;"Species";"Galeorhinus galeus";105820;1047
"Protoperidinium quinquecorne";233805;"Species";"Protoperidinium quinquecorne";233805;1047
"Platyhelminthes";793;"Phylum";"";;1045
"Streptosyllis websteri";131402;"Species";"Streptosyllis websteri";131402;1045
"Xanthoria parietina";147709;"Species";"Xanthoria parietina";147709;1044
"Mytilidae";211;"Family";"";;1044
"Natatolana borealis";118859;"Species";"Natatolana borealis";118859;1041
"Boroecia borealis";127766;"Species";"Boroecia borealis";127766;1041
"Aplidium turbinatum";103670;"Species";"Aplidium turbinatum";103670;1039
"Cellaria fistulosa";111257;"Species";"Cellaria fistulosa";111257;1039
"Alcyonium glomeratum";132159;"Species";"Alcyonium glomeratum";132159;1039
"Strombidiidae";1703;"Family";"";;1039
"Rhizosolenia shrubsolei";149165;"Species";"Rhizosolenia shrubsolei";149165;1036
"Woronichinia";146617;"Genus";"";;1032
"Quinqueloculina seminula";112674;"Species";"Quinqueloculina seminula";112674;1031
"Othomaera othonis";534781;"Species";"Othomaera othonis";534781;1030
"Myriochele danielsseni";130540;"Species";"Myriochele danielsseni";130540;1028
"Flaccisagitta enflata";105434;"Species";"Flaccisagitta enflata";105434;1027
"Syngnathidae";125606;"Family";"";;1027
"Glenodinium paululum";110149;"Species";"Glenodinium paululum";110149;1027
"Onchnesoma steenstrupii steenstrupii";410742;"Subspecies";"Onchnesoma steenstrupii";424622;1024
"Nebalia bipes";147032;"Species";"Nebalia bipes";147032;1023
"Procladius";156905;"Genus";"";;1021
"Dipolydora flava";131118;"Species";"Dipolydora flava";131118;1020
"Rhodomonas";106289;"Genus";"";;1020
"Ensis directus";933783;"Species";"Ensis directus";933783;1019
"Epizoanthus couchii";101025;"Species";"Epizoanthus couchii";101025;1019
"Styela clava";103929;"Species";"Styela clava";103929;1019
"Lipophrys pholis";126768;"Species";"Lipophrys pholis";126768;1018
"Spio goniocephala";131184;"Species";"Spio goniocephala";131184;1018
"Praunus flexuosus";120177;"Species";"Praunus flexuosus";120177;1018
"Globigerinoides conglobatus";113441;"Species";"Globigerinoides conglobatus";113441;1017
"Chaetoceros radians";149293;"Species";"Chaetoceros radians";149293;1015
"Polyphysia crassa";130977;"Species";"Polyphysia crassa";130977;1014
"Scorpaena notata";127246;"Species";"Scorpaena notata";127246;1012
"Rivularia";146623;"Genus";"";;1009
"Diastyloides biplicatus";110494;"Species";"Diastyloides biplicatus";110494;1008
"Desulfobulbaceae";570067;"Family";"";;1007
"Cerastoderma";137735;"Genus";"";;1002
"Spio armata";131180;"Species";"Spio armata";131180;1002
"Pleuronectidae";125579;"Family";"";;1000
"Chaetoceros convolutus";156611;"Species";"Chaetoceros convolutus";156611;999
"Chaetoceros (Phaeoceros)";370367;"Subgenus";"";;998
"Zeugopterus punctatus";127151;"Species";"Zeugopterus punctatus";127151;997
"Keratella quadrata platei";378585;"Subspecies";"Keratella quadrata";134992;997
"Microcalanus pygmaeus";104513;"Species";"Microcalanus pygmaeus";104513;997
"Molva macrophthalma";126460;"Species";"Molva macrophthalma";126460;996
"Falcidens crossotus";139112;"Species";"Falcidens crossotus";139112;995
"Chaetoceros subtilis var. subtilis";163131;"Variety";"Chaetoceros subtilis";156621;995
"Bulimina marginata";113042;"Species";"Bulimina marginata";113042;995
"Limacina helicina";140223;"Species";"Limacina helicina";140223;993
"Heterorhabdus norvegicus";104579;"Species";"Heterorhabdus norvegicus";104579;992
"Amylax triacantha";110007;"Species";"Amylax triacantha";110007;990
"Conchoecia";127533;"Genus";"";;988
"Strobilidiidae";22563;"Family";"";;984
"Centrales";341285;"Order";"";;984
"Bugulina flabellata";834002;"Species";"Bugulina flabellata";834002;984
"Protoperidinium crassipes";110214;"Species";"Protoperidinium crassipes";110214;983
"Aricidea (Aricidea) wassi";326605;"Species";"Aricidea (Aricidea) wassi";326605;983
"Hydroidolina";19494;"Subclass";"";;982
"Limatula subauriculata";140242;"Species";"Limatula subauriculata";140242;980
"Corallina";144007;"Genus";"";;978
"Gobius";125988;"Genus";"";;976
"Stenothoe marina";103166;"Species";"Stenothoe marina";103166;975
"Gouldia minima";141916;"Species";"Gouldia minima";141916;974
"Scrupocellaria scruposa";111250;"Species";"Scrupocellaria scruposa";111250;974
"Coccosphaerales";115059;"Order";"";;973
"Asperococcus fistulosus";145313;"Species";"Asperococcus fistulosus";145313;973
"Echinocardium";123426;"Genus";"";;973
"Romeria";177595;"Genus";"";;973
"Euspira catena";140528;"Species";"Euspira catena";140528;973
"Euchone southerni";130910;"Species";"Euchone southerni";130910;972
"Gammarus oceanicus";102285;"Species";"Gammarus oceanicus";102285;971
"Chaetoceros tenuissimus";156623;"Species";"Chaetoceros tenuissimus";156623;971
"Phaeocystis globosa";160538;"Species";"Phaeocystis globosa";160538;971
"Lingulodinium polyedrum";233592;"Species";"Lingulodinium polyedrum";233592;971
"Detonula confervaceae";149286;"Species";"Detonula confervaceae";149286;970
"Corallinales";15308;"Order";"";;970
"Synchelidium haplocheles";102924;"Species";"Synchelidium haplocheles";102924;970
"Crisia eburnea";111696;"Species";"Crisia eburnea";111696;969
"Ulva compressa";234462;"Species";"Ulva compressa";234462;968
"Ectocarpus siliculosus";145410;"Species";"Ectocarpus siliculosus";145410;967
"Diplosoma spongiforme";103582;"Species";"Diplosoma spongiforme";103582;966
"Diplodus sargus";127053;"Species";"Diplodus sargus";127053;964
"Lamprops fasciatus";110516;"Species";"Lamprops fasciatus";110516;963
"Thyasira succisa";141676;"Species";"Thyasira succisa";141676;962
"Apoglossum ruscifolium";144737;"Species";"Apoglossum ruscifolium";144737;962
"Chlorophyceae";802;"Class";"";;958
"Keratella cochlearis cochlearis";148322;"Subspecies";"Keratella cochlearis";134990;958
"Leptochiton cancellatus";140201;"Species";"Leptochiton cancellatus";140201;957
"Stolonica socialis";103921;"Species";"Stolonica socialis";103921;956
"Nematonereis unicornis";594957;"Species";"Nematonereis unicornis";594957;956
"Solmundella bitentaculata";117267;"Species";"Solmundella bitentaculata";117267;955
"Eudoxoides spiralis";135424;"Species";"Eudoxoides spiralis";135424;955
"Beroe ovata";106362;"Species";"Beroe ovata";106362;955
"Unciola planipes";102061;"Species";"Unciola planipes";102061;954
"Neogloboquadrina acostaensis";735211;"Species";"Neogloboquadrina acostaensis";735211;952
"Paracalanus nanus";104684;"Species";"Paracalanus nanus";104684;952
"Inachus phalangium";107333;"Species";"Inachus phalangium";107333;951
"Golfingia (Golfingia) elongata";175026;"Species";"Golfingia (Golfingia) elongata";175026;950
"Polycarpa pomaria";103909;"Species";"Polycarpa pomaria";103909;949
"Solaster endeca";124160;"Species";"Solaster endeca";124160;946
"Verrucaria";147701;"Genus";"";;946
"Argyropelecus hemigymnus";127309;"Species";"Argyropelecus hemigymnus";127309;944
"Goneplax rhomboides";107292;"Species";"Goneplax rhomboides";107292;943
"Apedinella radians";248097;"Species";"Apedinella radians";248097;940
"Triloculina tricarinata";991800;"Species";"Triloculina tricarinata";991800;940
"Mustelus mustelus";105822;"Species";"Mustelus mustelus";105822;938
"Euchone";129528;"Genus";"";;938
"Gnathia";118437;"Genus";"";;937
"Ophiacantha bidentata";124978;"Species";"Ophiacantha bidentata";124978;936
"Bacillariaceae";149002;"Family";"";;936
"Chaetoceros septentrionalis";962003;"Species";"Chaetoceros septentrionalis";962003;935
"Pyramimonas virginica";134559;"Species";"Pyramimonas virginica";134559;934
"Prionospio malmgreni";131159;"Species";"Prionospio malmgreni";131159;934
"Anapagurus laevis";107218;"Species";"Anapagurus laevis";107218;933
"Prionospio";129620;"Genus";"";;933
"Goodallia triangularis";138831;"Species";"Goodallia triangularis";138831;930
"Tintinnopsis campanula";163913;"Species";"Tintinnopsis campanula";163913;929
"Leucothoe lilljeborgi";102462;"Species";"Leucothoe lilljeborgi";102462;929
"Trochammina";112412;"Genus";"";;927
"Pyrophacus horologium";232598;"Species";"Pyrophacus horologium";232598;927
"Dialychone collaris";882442;"Species";"Dialychone collaris";882442;926
"Caldilineaceae";571047;"Family";"";;926
"Palinurus elephas";107703;"Species";"Palinurus elephas";107703;926
"Abylopsis tetragona";135403;"Species";"Abylopsis tetragona";135403;926
"Spatangoida";123106;"Order";"";;924
"Cladopyxis";109509;"Genus";"";;923
"Gonyaulax polygramma";110035;"Species";"Gonyaulax polygramma";110035;921
"Pagellus acarne";127057;"Species";"Pagellus acarne";127057;920
"Keratella quadrata quadrata";148319;"Subspecies";"Keratella quadrata";134992;920
"Daptonema tenuispiculum";121555;"Species";"Daptonema tenuispiculum";121555;919
"Aphanocapsa";146562;"Genus";"";;919
"Athanas nitescens";107486;"Species";"Athanas nitescens";107486;918
"Megaptera novaeangliae";137092;"Species";"Megaptera novaeangliae";137092;918
"Venus casina";141934;"Species";"Venus casina";141934;918
"Dictyochales";157256;"Order";"";;917
"Dipolydora caulleryi";131116;"Species";"Dipolydora caulleryi";131116;917
"Sebastes norvegicus";151324;"Species";"Sebastes norvegicus";151324;917
"Coris julis";126963;"Species";"Coris julis";126963;916
"Oithona";106485;"Genus";"";;916
"Didemnum maculosum";103570;"Species";"Didemnum maculosum";103570;915
"Hippopodius hippopus";135449;"Species";"Hippopodius hippopus";135449;915
"Halisarca dujardini";132736;"Species";"Halisarca dujardini";132736;914
"Ioanella tumidula";113363;"Species";"Ioanella tumidula";113363;914
"Urticina eques";100833;"Species";"Urticina eques";100833;914
"Protoperidinium diabolum";172460;"Species";"Protoperidinium diabolum";172460;913
"Muggiaea atlantica";135441;"Species";"Muggiaea atlantica";135441;913
"Brachynotus sexdentatus";107450;"Species";"Brachynotus sexdentatus";107450;913
"Stelligera rigida";134174;"Species";"Stelligera rigida";134174;913
"Bathyarca pectunculoides";138799;"Species";"Bathyarca pectunculoides";138799;912
"Cothurnia maritima";393192;"Species";"Cothurnia maritima";393192;911
"Aves";1836;"Class";"";;911
"Jania rubens";145130;"Species";"Jania rubens";145130;910
"Spinachia spinachia";126508;"Species";"Spinachia spinachia";126508;909
"Dexamine spinosa";102135;"Species";"Dexamine spinosa";102135;909
"Phascolion (Phascolion) strombus canadensis";410749;"Subspecies";"Phascolion (Phascolion) strombus";175043;908
"Lithodesmium";149321;"Genus";"";;908
"Halurus equisetifolius";146345;"Species";"Halurus equisetifolius";146345;908
"Malacoceros tetracerus";333954;"Species";"Malacoceros tetracerus";333954;908
"Crassicorophium bonellii";237004;"Species";"Crassicorophium bonellii";237004;907
"Chaetozone christiei";152217;"Species";"Chaetozone christiei";152217;906
"Chaetoceros (Hyalochaete)";370366;"Subgenus";"";;904
"Archaeperidinium minutum";624607;"Species";"Archaeperidinium minutum";624607;904
"Polysticta stelleri";232041;"Species";"Polysticta stelleri";232041;902
"Poecilostomatoida";1103;"Suborder";"";;902
"Thunnus albacares";127027;"Species";"Thunnus albacares";127027;902
"Medicorophium affine";423507;"Species";"Medicorophium affine";423507;900
"Leptasterias (Leptasterias) muelleri";125158;"Species";"Leptasterias (Leptasterias) muelleri";125158;899
"Sphaerosyllis hystrix";131388;"Species";"Sphaerosyllis hystrix";131388;898
"Pseudevadne tergestina";106278;"Species";"Pseudevadne tergestina";106278;898
"Madrepora oculata";135209;"Species";"Madrepora oculata";135209;896
"Alexandrium tamarense";109714;"Species";"Alexandrium tamarense";109714;896
"Fissurina";112154;"Genus";"";;894
"Ralfsia verrucosa";145001;"Species";"Ralfsia verrucosa";145001;892
"Leptocheirus hirsutimanus";102036;"Species";"Leptocheirus hirsutimanus";102036;891
"Lensia multicristata";135436;"Species";"Lensia multicristata";135436;889
"Rhodochorton purpureum";144404;"Species";"Rhodochorton purpureum";144404;887
"Nymphon brevirostre";150520;"Species";"Nymphon brevirostre";150520;887
"Eutreptiella gymnastica";110652;"Species";"Eutreptiella gymnastica";110652;887
"Eclysippe";129161;"Genus";"";;886
"Cutleria multifida";145297;"Species";"Cutleria multifida";145297;886
"Spatangus purpureus";124418;"Species";"Spatangus purpureus";124418;886
"Bulimina striata";113047;"Species";"Bulimina striata";113047;885
"Ebalia tuberosa";107301;"Species";"Ebalia tuberosa";107301;885
"Thracia convexa";141644;"Species";"Thracia convexa";141644;884
"Enterobacteriaceae";414809;"Family";"";;883
"Brachionus";134937;"Genus";"";;883
"Aglaophenia pluma";117283;"Species";"Aglaophenia pluma";117283;882
"Schistomeringos rudolphii";154127;"Species";"Schistomeringos rudolphii";154127;880
"Scolelepis";129623;"Genus";"";;880
"Microlaimus";2366;"Genus";"";;879
"Phymatolithon calcareum";145199;"Species";"Phymatolithon calcareum";145199;879
"Planctomycetes";565455;"Phylum";"";;879
"Nyctiphanes couchii";254316;"Species";"Nyctiphanes couchii";254316;878
"Chironomus plumosus";955291;"Species";"Chironomus plumosus";955291;878
"Acanthodoris pilosa";140627;"Species";"Acanthodoris pilosa";140627;877
"Balaenoptera musculus";137090;"Species";"Balaenoptera musculus";137090;876
"Nereis pelagica";130404;"Species";"Nereis pelagica";130404;874
"Paracalanus aculeatus";104681;"Species";"Paracalanus aculeatus";104681;874
"Ctenocalanus";104162;"Genus";"";;872
"Sabatieria";2433;"Genus";"";;871
"Heterosigma akashiwo";160585;"Species";"Heterosigma akashiwo";160585;871
"Biddulphia aurita var. minima";160536;"Variety";"Biddulphia aurita";149240;871
"Loripes orbiculatus";875379;"Species";"Loripes orbiculatus";875379;871
"Richtersia inaequalis";120946;"Species";"Richtersia inaequalis";120946;871
"Chondracanthus acicularis";145623;"Species";"Chondracanthus acicularis";145623;870
"Owenweeksia";559992;"Genus";"";;870
"Calliblepharis jubata";145614;"Species";"Calliblepharis jubata";145614;870
"Chuniphyes multidentata";135409;"Species";"Chuniphyes multidentata";135409;870
"Onoba aculeus";141308;"Species";"Onoba aculeus";141308;870
"Ulothrix flacca";145925;"Species";"Ulothrix flacca";145925;869
"Hippolyte varians";107518;"Species";"Hippolyte varians";107518;868
"Rickettsiales";570969;"Order";"";;866
"Lineidae";122314;"Family";"";;866
"Sertularia";117234;"Genus";"";;865
"Capitella minima";129879;"Species";"Capitella minima";129879;864
"Helicosphaera carteri";615435;"Species";"Helicosphaera carteri";615435;861
"Chaetoceros subtilis";156621;"Species";"Chaetoceros subtilis";156621;860
"Verruca";106140;"Genus";"";;859
"Raspailia (Clathriodendron) hispida";133147;"Species";"Raspailia (Clathriodendron) hispida";133147;858
"Pennatula phosphorea";128517;"Species";"Pennatula phosphorea";128517;858
"Sabatieria celtica";121360;"Species";"Sabatieria celtica";121360;858
"Triglidae";125598;"Family";"";;857
"Jasmineira candela";130919;"Species";"Jasmineira candela";130919;857
"Glyphohesione klatti";130696;"Species";"Glyphohesione klatti";130696;856
"Cyclotella choctawhatcheeana";148908;"Species";"Cyclotella choctawhatcheeana";148908;855
"Salmacina dysteri";131038;"Species";"Salmacina dysteri";131038;855
"Diastylis laevis";110481;"Species";"Diastylis laevis";110481;854
"Callithamnion";143832;"Genus";"";;853
"Rhizoclonium riparium";145075;"Species";"Rhizoclonium riparium";145075;853
"Theristus";2469;"Genus";"";;853
"Leucosolenia botryoides";132216;"Species";"Leucosolenia botryoides";132216;851
"Jasmineira elegans";130921;"Species";"Jasmineira elegans";130921;850
"Hemiaulus hauckii";163249;"Species";"Hemiaulus hauckii";163249;850
"Gari tellinella";140873;"Species";"Gari tellinella";140873;849
"Phoxocephalus holbolli";102989;"Species";"Phoxocephalus holbolli";102989;848
"Bitectatodinium tepikiense";703858;"Species";"Bitectatodinium tepikiense";703858;848
"Ensis siliqua";140735;"Species";"Ensis siliqua";140735;846
"Belone belone";126375;"Species";"Belone belone";126375;846
"Gammaropsis maculata";102364;"Species";"Gammaropsis maculata";102364;846
"Clymenura borealis";130281;"Species";"Clymenura borealis";130281;845
"Sigmoilopsis schlumbergeri";112704;"Species";"Sigmoilopsis schlumbergeri";112704;844
"Lineus ruber";122536;"Species";"Lineus ruber";122536;844
"Rhizosolenia bergonii";196811;"Species";"Rhizosolenia bergonii";196811;844
"Hemilamprops roseus";110514;"Species";"Hemilamprops roseus";110514;842
"Syllis armillaris";131415;"Species";"Syllis armillaris";131415;841
"Animoceradocus semiserratus";531364;"Species";"Animoceradocus semiserratus";531364;840
"Megamphopus cornutus";102377;"Species";"Megamphopus cornutus";102377;840
"Coscinodiscus centralis";149159;"Species";"Coscinodiscus centralis";149159;839
"Pyrosoma";137224;"Genus";"";;838
"Rubritalea";564333;"Genus";"";;837
"Echinus";123386;"Genus";"";;836
"Ceramium diaphanum";144546;"Species";"Ceramium diaphanum";144546;835
"Aurospio banyulensis";146532;"Species";"Aurospio banyulensis";146532;835
"Lampanyctus crocodilus";126612;"Species";"Lampanyctus crocodilus";126612;834
"Trigonium alternans";699394;"Species";"Trigonium alternans";699394;834
"Sertularella gayi";117902;"Species";"Sertularella gayi";117902;830
"Peresiella clymenoides";129906;"Species";"Peresiella clymenoides";129906;829
"Obtusoecia obtusata";127828;"Species";"Obtusoecia obtusata";127828;829
